node_id,node_type,node_subtype,degree,source,source_edge,name,notes,display_group,display_color,display_label,infra_field,infra_type,infra_class,infra_category,infra_name,display_name,gate_name,gate_name_status,needs_gate_name_review,snap_dist_m,index_right,grid_x,grid_y,grid_id,lat,lon,cell_seq,grid_node_code
INF_0307,infrastructure,barrier:gate,,infrastructure,E06009,Unnamed gate,useful_infrastructure; barrier:gate,infrastructure,#7f7f7f,Entrance / gate,barrier,gate,Entrance / gate,Entrance / gate,Unnamed gate,Unnamed gate,,missing_name,True,0.0,0,1,1,11,40.7675767,-73.9716415,55,11055
INF_0304,infrastructure,barrier:gate,,infrastructure,E07922,Unnamed gate,useful_infrastructure; barrier:gate,infrastructure,#7f7f7f,Entrance / gate,barrier,gate,Entrance / gate,Entrance / gate,Unnamed gate,Unnamed gate,,missing_name,True,0.0,2,1,3,13,40.77167599999999,-73.9733886,11,13011
INF_0330,infrastructure,entrance:yes,,infrastructure,E06360,Unnamed yes entrance,useful_infrastructure; entrance:yes,infrastructure,#7f7f7f,Entrance / gate,entrance,yes,Entrance / gate,Entrance / gate,Unnamed yes entrance,Unnamed yes entrance,,missing_name,True,29.434918738105907,2,1,3,13,40.76823419358191,-73.9769367395472,59,13059
INF_0316,infrastructure,barrier:gate,,infrastructure,E08749,Unnamed gate,useful_infrastructure; barrier:gate,infrastructure,#7f7f7f,Entrance / gate,barrier,gate,Entrance / gate,Entrance / gate,Unnamed gate,Unnamed gate,,missing_name,True,7.728526480476453,4,1,5,15,40.773369139705636,-73.97721924622154,10,15010
INF_0324,infrastructure,entrance:yes,,infrastructure,E14128,Unnamed yes entrance,useful_infrastructure; entrance:yes,infrastructure,#7f7f7f,Entrance / gate,entrance,yes,Entrance / gate,Entrance / gate,Unnamed yes entrance,Unnamed yes entrance,,missing_name,True,0.0,7,2,3,23,40.779298299999994,-73.9688958,2,23002
INF_0305,infrastructure,barrier:gate,,infrastructure,E09416,Unnamed gate,useful_infrastructure; barrier:gate,infrastructure,#7f7f7f,Entrance / gate,barrier,gate,Entrance / gate,Entrance / gate,Unnamed gate,Unnamed gate,,missing_name,True,0.0,7,2,3,23,40.77859109999999,-73.9680598,8,23008
INF_0323,infrastructure,entrance:yes,,infrastructure,E14127,Unnamed yes entrance,useful_infrastructure; entrance:yes,infrastructure,#7f7f7f,Entrance / gate,entrance,yes,Entrance / gate,Entrance / gate,Unnamed yes entrance,Unnamed yes entrance,,missing_name,True,0.0,8,2,4,24,40.77934619999999,-73.9689517,19,24019
INF_0321,infrastructure,entrance:main,,infrastructure,E13804,Unnamed main entrance,useful_infrastructure; entrance:main,infrastructure,#7f7f7f,Entrance / gate,entrance,main,Entrance / gate,Entrance / gate,Unnamed main entrance,Unnamed main entrance,,missing_name,True,21.67654416341239,10,3,1,31,40.779250047176504,-73.96226094454391,16,31016
INF_0322,infrastructure,entrance:main,,infrastructure,E13803,Unnamed main entrance,useful_infrastructure; entrance:main,infrastructure,#7f7f7f,Entrance / gate,entrance,main,Entrance / gate,Entrance / gate,Unnamed main entrance,Unnamed main entrance,,missing_name,True,21.748418489876403,10,3,1,31,40.77902545759204,-73.96242378276519,18,31018
INF_0329,infrastructure,entrance:yes,,infrastructure,E13801,Unnamed yes entrance,useful_infrastructure; entrance:yes,infrastructure,#7f7f7f,Entrance / gate,entrance,yes,Entrance / gate,Entrance / gate,Unnamed yes entrance,Unnamed yes entrance,,missing_name,True,24.891643525372764,10,3,1,31,40.77861791340646,-73.96272103040752,19,31019
INF_0320,infrastructure,entrance:main,,infrastructure,E07181,Unnamed main entrance,useful_infrastructure; entrance:main,infrastructure,#7f7f7f,Entrance / gate,entrance,main,Entrance / gate,Entrance / gate,Unnamed main entrance,Unnamed main entrance,,missing_name,True,3.215466431717697,11,3,2,32,40.782163985702084,-73.96254040646653,3,32003
INF_0308,infrastructure,barrier:gate,,infrastructure,E14099,Unnamed gate,useful_infrastructure; barrier:gate,infrastructure,#7f7f7f,Entrance / gate,barrier,gate,Entrance / gate,Entrance / gate,Unnamed gate,Unnamed gate,,missing_name,True,0.0,12,3,3,33,40.78340510000001,-73.9643465,20,33020
