node_id,node_type,node_subtype,degree,source,source_edge,name,notes,display_group,display_color,display_label,infra_field,infra_type,infra_class,infra_category,infra_name,display_name,gate_name,gate_name_status,needs_gate_name_review,snap_dist_m,index_right,grid_x,grid_y,grid_id,lat,lon,cell_seq,grid_node_code
INF_0094,infrastructure,amenity:drinking_water,,infrastructure,E06955,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,5.595993698781493,0,1,1,11,40.77105581962096,-73.96878270273473,5,11005
INF_0080,infrastructure,amenity:drinking_water,,infrastructure,E01437,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,3.6174413464764132,0,1,1,11,40.77008567777959,-73.97021350030558,10,11010
INF_0261,infrastructure,tourism:information,,infrastructure,E01541,Sled dogs memorial plaque,useful_infrastructure; tourism:information,infrastructure,#9467bd,Information / landmark,tourism,information,Information / landmark,Information / landmark,Sled dogs memorial plaque,Sled dogs memorial plaque,,,False,1.516406025032583,0,1,1,11,40.77000251321311,-73.97099355699363,11,11011
INF_0011,infrastructure,tourism:artwork,,infrastructure,E01374,Balto,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Balto,Balto,,,False,3.992352445091903,0,1,1,11,40.76993848638777,-73.97097260072188,14,11014
INF_0014,infrastructure,leisure:playground,,infrastructure,E01508,Billy Johnson Playground,useful_infrastructure; leisure:playground,infrastructure,#e377c2,Recreation,leisure,playground,Recreation,Recreation,Billy Johnson Playground,Billy Johnson Playground,,,False,20.0440062796184,0,1,1,11,40.7696582,-73.969922,17,11017
INF_0100,infrastructure,amenity:drinking_water,,infrastructure,E01413,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,6.4628357284670175,0,1,1,11,40.769387669709445,-73.97058875518577,19,11019
INF_0092,infrastructure,amenity:drinking_water,,infrastructure,E09314,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,5.099063264762645,0,1,1,11,40.76861300695868,-73.9709436074214,25,11025
INF_0283,infrastructure,amenity:toilets,,infrastructure,E13783,Toilets,useful_infrastructure; amenity:toilets,infrastructure,#1f77b4,Restroom,amenity,toilets,Restroom,Restroom,Toilets,Toilets,,,False,3.9275729939271415,0,1,1,11,40.76843330133825,-73.97072340970536,27,11027
INF_0145,infrastructure,tourism:attraction,,infrastructure,E06049,Grizzly Bear,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Grizzly Bear,Grizzly Bear,,,False,11.463787098314866,0,1,1,11,40.768370499999996,-73.972035,28,11028
INF_0264,infrastructure,tourism:attraction,,infrastructure,E06059,Snow Monkey,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Snow Monkey,Snow Monkey,,,False,16.182150131018144,0,1,1,11,40.76832535142093,-73.9723086779748,29,11029
INF_0254,infrastructure,tourism:attraction,,infrastructure,E05989,Seal,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Seal,Seal,,,False,13.489322384995072,0,1,1,11,40.76826503773909,-73.9716829336252,33,11033
INF_0133,infrastructure,tourism:attraction,,infrastructure,E05982,Gentoo Penguin,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Gentoo Penguin,Gentoo Penguin,,,False,12.537872985462622,0,1,1,11,40.76821830000001,-73.9714798,35,11035
INF_0243,infrastructure,tourism:attraction,,infrastructure,E05983,Puffin,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Puffin,Puffin,,,False,7.475224528289216,0,1,1,11,40.76813687122253,-73.9713762126363,38,11038
INF_0029,infrastructure,tourism:attraction,,infrastructure,E12280,Delacorte Musical Clock,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Delacorte Musical Clock,Delacorte Musical Clock,,,False,0.17977557234523114,0,1,1,11,40.76811547692238,-73.97117666881537,40,11040
INF_0118,infrastructure,amenity:drinking_water,,infrastructure,E06007,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,14.484927753119305,0,1,1,11,40.76780877157875,-73.97140507328136,47,11047
INF_0018,infrastructure,tourism:attraction,,infrastructure,E06027,California Sea Lion,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,California Sea Lion,California Sea Lion,,,False,11.459209555529437,0,1,1,11,40.767763457506334,-73.9716443640027,49,11049
INF_0301,infrastructure,tourism:attraction,,infrastructure,E05981,Tropical Zone,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Tropical Zone,Tropical Zone,,,False,16.627075176889242,0,1,1,11,40.7675986,-73.9723332,53,11053
INF_0307,infrastructure,barrier:gate,,infrastructure,E06009,Unnamed gate,useful_infrastructure; barrier:gate,infrastructure,#7f7f7f,Entrance / gate,barrier,gate,Entrance / gate,Entrance / gate,Unnamed gate,Unnamed gate,,missing_name,True,0.0,0,1,1,11,40.7675767,-73.9716415,55,11055
INF_0288,infrastructure,amenity:toilets,,infrastructure,E06013,Toilets,useful_infrastructure; amenity:toilets,infrastructure,#1f77b4,Restroom,amenity,toilets,Restroom,Restroom,Toilets,Toilets,,,False,9.32632871121537,0,1,1,11,40.76750539658533,-73.97210915657364,60,11060
INF_0105,infrastructure,amenity:drinking_water,,infrastructure,E06013,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,8.250873589675983,0,1,1,11,40.767390198231375,-73.97183227302584,63,11063
INF_0290,infrastructure,amenity:toilets,,infrastructure,E09115,Toilets,useful_infrastructure; amenity:toilets,infrastructure,#1f77b4,Restroom,amenity,toilets,Restroom,Restroom,Toilets,Toilets,,,False,10.116918544999294,0,1,1,11,40.76734663651967,-73.97149086472902,64,11064
INF_0043,infrastructure,amenity:drinking_water,,infrastructure,E09114,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,1.187948546719261,0,1,1,11,40.76730662820667,-73.97133240564891,65,11065
INF_0098,infrastructure,amenity:drinking_water,,infrastructure,E01408,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,5.9068405143824645,0,1,1,11,40.76714521535432,-73.97189045380216,66,11066
INF_0027,infrastructure,amenity:cafe,,infrastructure,E01408,Dancing Crane Cafe,useful_infrastructure; amenity:cafe,infrastructure,#ff7f0e,Food / cafe,amenity,cafe,Food / cafe,Food / cafe,Dancing Crane Cafe,Dancing Crane Cafe,,,False,14.424669500003194,0,1,1,11,40.76712127935627,-73.97190748373495,67,11067
INF_0044,infrastructure,amenity:drinking_water,,infrastructure,E06513,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,1.5403095811012613,0,1,1,11,40.76607792645666,-73.97354770683144,75,11075
INF_0278,infrastructure,tourism:artwork,,infrastructure,E06158,Thomas Moore,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Thomas Moore,Thomas Moore,,,False,7.820435962644776,0,1,1,11,40.76587481381634,-73.97330575382924,78,11078
INF_0058,infrastructure,amenity:drinking_water,,infrastructure,E03116,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,2.3884284163021188,1,1,2,12,40.772129991511505,-73.9712817687116,1,12001
INF_0349,infrastructure,tourism:artwork,,infrastructure,E03040,Women's Rights Pioneers Monument,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Women's Rights Pioneers Monument,Women's Rights Pioneers Monument,,,False,12.452467865410572,1,1,2,12,40.77081985823146,-73.97235216958518,8,12008
INF_0129,infrastructure,tourism:artwork,,infrastructure,E02987,Fitz-Greene Halleck,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Fitz-Greene Halleck,Fitz-Greene Halleck,,,False,9.470028250030976,1,1,2,12,40.77068776255767,-73.97224442437697,10,12010
INF_0158,infrastructure,tourism:artwork,,infrastructure,E06918,Indian Hunter,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Indian Hunter,Indian Hunter,,,False,3.7120940861440843,1,1,2,12,40.770406418396206,-73.97313163860184,13,12013
INF_0247,infrastructure,tourism:artwork,,infrastructure,E02987,Robert Burns,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Robert Burns,Robert Burns,,,False,10.684763859532392,1,1,2,12,40.77016607689248,-73.97244435841202,17,12017
INF_0259,infrastructure,tourism:artwork,,infrastructure,E02987,Sir Walter Scott,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Sir Walter Scott,Sir Walter Scott,,,False,9.284890538010206,1,1,2,12,40.77016409585633,-73.97244511763013,18,12018
INF_0248,infrastructure,tourism:information,,infrastructure,E02987,Robert Burns,useful_infrastructure; tourism:information,infrastructure,#9467bd,Information / landmark,tourism,information,Information / landmark,Information / landmark,Robert Burns,Robert Burns,,,False,8.366822828449603,1,1,2,12,40.77015911755358,-73.97244702552925,20,12020
INF_0081,infrastructure,amenity:drinking_water,,infrastructure,E02994,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,3.6254126705294034,1,1,2,12,40.770002180682,-73.97259666169012,24,12024
INF_0024,infrastructure,tourism:artwork,,infrastructure,E03002,Christopher Columbus,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Christopher Columbus,Christopher Columbus,,,False,3.545823796857976,1,1,2,12,40.769893263967646,-73.9727339159511,27,12027
